"","Estimate","Std. Error","t value","Pr(>|t|)","module","maxtime"
"M00001",0.0559708472370615,0.00442308947942193,12.6542425825798,3.72714644201031e-32,"M00001","24month"
"M00002",0.0516004726137668,0.00452491097317973,11.4036437224104,5.086113175723e-27,"M00002","24month"
"M00003",0.0111457235944396,0.00503926220185844,2.21177687287817,0.0274194872844996,"M00003","24month"
"M00004",-0.0350207953012943,0.00482266118699632,-7.2617158749869,1.41681530710965e-12,"M00004","3month"
"M00006",-0.0460625820850274,0.00463928582955098,-9.92880882475948,2.23191190080836e-21,"M00006","3month"
"M00007",0.0141898700129397,0.00502441001388662,2.82418631714397,0.0049234180736047,"M00007","3month"
"M00008",0.0104916679025518,0.00504198274591829,2.08086152437655,0.0379392209445663,"M00008","3month"
"M00016",0.0176557210779649,0.00500307871374627,3.52897127711677,0.000454457027139462,"M00016","24month"
"M00018",0.0136839286225395,0.00502712904452951,2.72201658269151,0.00670789876171224,"M00018","24month"
"M00022",-0.0274425770311531,0.00491685136425476,-5.58133142495606,3.86107854966682e-08,"M00022","3month"
"M00026",0.0296999462710229,0.00489136415320683,6.0719147748489,2.45252974822943e-09,"M00026","24month"
"M00029",0.0192858692607887,0.00499140167421741,3.86381832590392,0.000125847193981613,"M00029","3month"
"M00034",0.0109265664941808,0.00504019227309061,2.16788683886472,0.0306237376610848,"M00034","AB"
"M00035",0.0216485245504527,0.00497259094518477,4.35357035981738,1.61576267012634e-05,"M00035","3month"
"M00039",-0.0104437651547012,0.00504217547756079,-2.07128157303909,0.0388289521547324,"M00039","24month"
"M00045",0.0307251233238736,0.00487907697486218,6.29732293263142,6.48590068328553e-10,"M00045","AB"
"M00051",0.0145118178596332,0.0050226276136483,2.8892880332596,0.00402352574193409,"M00051","24month"
"M00053",0.0127431250741006,0.00503191910620434,2.53245825402646,0.0116219431053597,"M00053","12month"
"M00061",0.0235247447657721,0.00495604750078784,4.74667459543769,2.68198144312033e-06,"M00061","12month"
"M00077",0.01674306150255,0.00500915546118915,3.34249188955603,0.000890546185228657,"M00077","12month"
"M00079",0.0119824840316961,0.0050355395115673,2.37958296309079,0.0176947310599768,"M00079","24month"
"M00088",0.0100114889259589,0.0050438744855283,1.98488066161905,0.047686841954745,"M00088","24month"
"M00115",0.0127465966123526,0.00503190206601422,2.53315673578862,0.0115990994452534,"M00115","3month"
"M00119",0.0109103712492726,0.00504026026379259,2.16464441879098,0.0308727558810999,"M00119","24month"
"M00121",0.0191678818549496,0.00499228238605342,3.83950273095478,0.000138599784230814,"M00121","AB"
"M00125",0.0450805637394574,0.00465794276909841,9.67821331737469,1.80806463649536e-20,"M00125","24month"
"M00127",0.0128598407354951,0.00503134362532487,2.55594562668431,0.0108753780823165,"M00127","12month"
"M00131",-0.0101610503143028,0.00504329484192954,-2.01476428263219,0.0444475673007231,"M00131","AB"
"M00133",0.0187527143657221,0.00499533721431702,3.7540437334191,0.000193786540834474,"M00133","12month"
"M00136",0.0129681383996181,0.00503080489789187,2.57774623799312,0.0102209981436511,"M00136","AB"
"M00142",0.026148490697479,0.00493049991467686,5.30341570834258,1.68886949644834e-07,"M00142","3month"
"M00144",0.0247904743391144,0.00494407638725025,5.01417704690888,7.33531027163513e-07,"M00144","12month"
"M00149",0.0102241784321715,0.00504304758127149,2.02738091747167,0.0431369577733656,"M00149","AB"
"M00157",-0.044784130777219,0.00466348116037924,-9.60315464715571,3.359748240949e-20,"M00157","3month"
"M00159",0.0282053905736509,0.00490847856154431,5.74625929806992,1.56154224389985e-08,"M00159","AB"
"M00164",-0.044784130777219,0.00466348116037924,-9.60315464715571,3.359748240949e-20,"M00164","3month"
"M00171",0.0200753254273884,0.0049853655697002,4.02685122017956,6.50194923335763e-05,"M00171","24month"
"M00173",-0.0102574153414524,0.00504291677840873,-2.03402431413693,0.0424601093657457,"M00173","24month"
"M00174",0.0143919784528913,0.00502329582672865,2.86504696305411,0.00433946418673624,"M00174","3month"
"M00178",0.0633627347304397,0.00422542585076658,14.9955855263546,1.8748148080717e-42,"M00178","24month"
"M00185",0.0208703647680395,0.00497903422483988,4.19164918849511,3.25852562477907e-05,"M00185","24month"
"M00194",0.026792649204756,0.00492379318413699,5.4414651880737,8.17816657778581e-08,"M00194","24month"
"M00197",0.0489886946989029,0.00458082524730313,10.6942945984993,3.02473303279381e-24,"M00197","24month"
"M00198",0.0172906799785122,0.00500554884477038,3.45430251800996,0.000597121191766867,"M00198","3month"
"M00206",0.0112944362512802,0.00503862046810985,2.24157312954296,0.0254132444075103,"M00206","3month"
"M00207",0.0301786230368012,0.0048856827401724,6.17695103054037,1.32610860309302e-09,"M00207","AB"
"M00219",0.0108331591063427,0.00504058301591009,2.14918771740271,0.0320839359996278,"M00219","AB"
"M00220",0.0102843667979798,0.00504281039756224,2.0394117539996,0.0419178564839252,"M00220","AB"
"M00222",-0.0167975802364517,0.00500880171786163,-3.35361253701674,0.000856255575296526,"M00222","3month"
"M00233",0.0164002778319376,0.00501135269837662,3.27262494161513,0.00113689270668481,"M00233","3month"
"M00239",-0.0235158271236797,0.0049561295177879,-4.74479672883441,2.70592839473684e-06,"M00239","3month"
"M00245",0.0271718118465545,0.00491976479348603,5.52299001824865,5.29060221616293e-08,"M00245","24month"
"M00246",0.0169306258084591,0.00500793352188089,3.38076089358716,0.000777634082368676,"M00246","AB"
"M00260",0.0114283870142412,0.0050380350834099,2.26842148278691,0.0237158638748882,"M00260","3month"
"M00276",0.0124990362388493,0.00503310544822213,2.48336466768531,0.0133313024060221,"M00276","AB"
"M00277",0.0164284693979594,0.00501117374223852,3.27836755279228,0.00111447866809011,"M00277","AB"
"M00287",0.0138659261503243,0.00502616248896792,2.75875007637717,0.0060082960504099,"M00287","3month"
"M00299",0.0227649927636807,0.00496291882521316,4.58701694817725,5.65031022816746e-06,"M00299","AB"
"M00302",0.0103168369037864,0.005042681860166,2.04590279336931,0.04127234306869,"M00302","AB"
"M00310",0.0227584652373329,0.00496297684344242,4.58564808082948,5.68599522234995e-06,"M00310","24month"
"M00311",0.0218738453497283,0.00497067961877734,4.40057437359215,1.31256312670651e-05,"M00311","12month"
"M00317",0.0105073446973901,0.00504191947883383,2.08399692646825,0.0376518257178487,"M00317","AB"
"M00319",0.0143656394347878,0.00502344193598199,2.85972041040016,0.0044118404627409,"M00319","AB"
"M00331",0.0121075977183288,0.00503495949232368,2.40470608289662,0.0165367343628148,"M00331","12month"
"M00335",0.0224591382879347,0.00496561874017869,4.5229284532478,7.57433422711888e-06,"M00335","3month"
"M00342",0.011792421643936,0.00503640897593014,2.34143448244454,0.0195894055134612,"M00342","3month"
"M00348",0.0276154879169952,0.00491497481751551,5.61864280943654,3.15207769664923e-08,"M00348","24month"
"M00358",0.0124064846220458,0.00503354920476261,2.46475878497564,0.014035214092662,"M00358","24month"
"M00359",0.0172788145274495,0.0050056282487805,3.45187730064835,0.000602390541621235,"M00359","24month"
"M00360",0.0104571249473427,0.00504212181527634,2.07395325429471,0.0385790516472718,"M00360","24month"
